Using device: cuda
Selected GPU: 1
Number of classes: 1000
Train samples: 12811
Train batches: 101
Total trainable parameters: 5464040
Epoch 0, Loss: 6.8908, Accuracy: 0.0030, Time: 17.57s
Epoch 1, Loss: 6.7437, Accuracy: 0.0077, Time: 16.70s
Epoch 2, Loss: 6.5772, Accuracy: 0.0084, Time: 16.40s
Epoch 3, Loss: 6.4230, Accuracy: 0.0107, Time: 16.60s
Epoch 4, Loss: 6.2882, Accuracy: 0.0141, Time: 16.66s
Epoch 5, Loss: 6.1613, Accuracy: 0.0169, Time: 16.46s
Epoch 6, Loss: 6.0582, Accuracy: 0.0207, Time: 16.48s
Epoch 7, Loss: 5.9526, Accuracy: 0.0245, Time: 16.52s
Epoch 8, Loss: 5.8670, Accuracy: 0.0274, Time: 16.47s
Epoch 9, Loss: 5.7815, Accuracy: 0.0345, Time: 16.53s
Epoch 10, Loss: 5.7038, Accuracy: 0.0378, Time: 16.34s
Epoch 11, Loss: 5.6419, Accuracy: 0.0402, Time: 16.54s
Epoch 12, Loss: 5.5584, Accuracy: 0.0439, Time: 16.50s
Epoch 13, Loss: 5.4901, Accuracy: 0.0467, Time: 16.67s
Epoch 14, Loss: 5.4172, Accuracy: 0.0501, Time: 16.54s
Epoch 15, Loss: 5.3611, Accuracy: 0.0562, Time: 16.42s
Epoch 16, Loss: 5.2856, Accuracy: 0.0593, Time: 16.57s
Epoch 17, Loss: 5.2455, Accuracy: 0.0610, Time: 16.50s
Epoch 18, Loss: 5.1845, Accuracy: 0.0665, Time: 16.54s
Epoch 19, Loss: 5.1138, Accuracy: 0.0687, Time: 16.44s
Epoch 20, Loss: 5.0498, Accuracy: 0.0722, Time: 16.61s
Epoch 21, Loss: 5.0278, Accuracy: 0.0781, Time: 16.41s
Epoch 22, Loss: 4.9465, Accuracy: 0.0821, Time: 16.62s
Epoch 23, Loss: 4.9059, Accuracy: 0.0856, Time: 16.50s
Epoch 24, Loss: 4.8341, Accuracy: 0.0947, Time: 16.41s
Epoch 25, Loss: 4.7824, Accuracy: 0.0978, Time: 16.49s
Epoch 26, Loss: 4.7308, Accuracy: 0.1042, Time: 16.66s
Epoch 27, Loss: 4.6635, Accuracy: 0.1080, Time: 16.77s
Epoch 28, Loss: 4.6139, Accuracy: 0.1103, Time: 16.58s
